candidate_id,committee_id,transaction_date,transaction_amount
S2OH00402,C70004262,5/3/2022 0:00,10.54
H2TX23082,C70002563,5/5/2022 0:00,3000
H8ID02064,C70002563,5/5/2022 0:00,600
H8ID02064,C70002563,5/5/2022 0:00,4440.14
H2TX23082,C70002563,5/5/2022 0:00,16958.57
H2CA13115,C70002563,5/9/2022 0:00,14908.95
H0CA25105,C70002563,5/9/2022 0:00,13317.6
H0CA48198,C70002563,5/9/2022 0:00,14458.3
H8CA10126,C70002563,5/9/2022 0:00,1800
H0CA48198,C70002563,5/9/2022 0:00,1800
H8CA10126,C70002563,5/9/2022 0:00,17094.58
H0CA25105,C70002563,5/9/2022 0:00,1800
H2CA13115,C70002563,5/9/2022 0:00,1800
S2AL00145,C70005798,5/10/2022 0:00,95518
S2AL00145,C70005798,5/10/2022 0:00,14015.62
H0TX28077,C70000666,5/10/2022 0:00,41.2
H0TX28077,C70005988,5/10/2022 0:00,753.25
S2AL00145,C70005798,5/10/2022 0:00,3125
H2TX23082,C70005988,5/10/2022 0:00,753.25
H0CA25154,C70006150,5/11/2022 0:00,152.43
H2CA28113,C70006150,5/11/2022 0:00,76.22
H6CA24113,C70006150,5/11/2022 0:00,76.22
H4CA33119,C70006150,5/11/2022 0:00,76.22
H0CA27085,C70006150,5/11/2022 0:00,76.22
H2CA37304,C70006150,5/11/2022 0:00,76.22
H2CA00120,C70006150,5/11/2022 0:00,76.22
H2CA36439,C70006150,5/11/2022 0:00,76.22
H4CA23011,C70006150,5/11/2022 0:00,76.22
H6CA24303,C70006150,5/11/2022 0:00,76.22
H0CA32101,C70006150,5/11/2022 0:00,76.22
H8CA34266,C70006150,5/11/2022 0:00,76.22
H2CA43245,C70006150,5/11/2022 0:00,76.22
H6CA44103,C70006150,5/11/2022 0:00,76.22
H4CA35031,C70006150,5/11/2022 0:00,152.43
H6CA46116,C70006150,5/11/2022 0:00,76.22
H2CA39136,C70006150,5/11/2022 0:00,76.22
H2CA39078,C70006150,5/11/2022 0:00,76.22
,C70006150,5/11/2022 0:00,152.43
H2CA47188,C70006150,5/11/2022 0:00,76.22
S0AR00150,C70006432,5/11/2022 0:00,23.83
H2TX23082,C70005988,5/12/2022 0:00,61.6
H0TX28077,C70000112,5/12/2022 0:00,1462.69
H2TX23082,C70000112,5/12/2022 0:00,4388.08
H0TX28077,C70005988,5/12/2022 0:00,61.6
H8CA10126,C70006242,5/13/2022 0:00,24.05
H0CA32101,C70006242,5/13/2022 0:00,26.06
H6CA44103,C70006242,5/13/2022 0:00,12.44
H8CA49058,C70006242,5/13/2022 0:00,66.42
H6CA24303,C70006242,5/13/2022 0:00,48.88
H4CA20082,C70006242,5/13/2022 0:00,7.9
H8CA34068,C70006242,5/13/2022 0:00,16.65
H2CA37304,C70006242,5/13/2022 0:00,5.16
H2CA28113,C70006242,5/13/2022 0:00,5.04
S2CA00955,C70006242,5/13/2022 0:00,5961.17
H2CA00120,C70006242,5/13/2022 0:00,55.94
H2CA39078,C70006242,5/13/2022 0:00,16.7
H4CA35031,C70006242,5/13/2022 0:00,16.42
H6CA46116,C70006242,5/13/2022 0:00,6.33
H2CA50026,C70006242,5/13/2022 0:00,10.71
H2CA15094,C70006242,5/13/2022 0:00,20.07
H8CA05035,C70006242,5/13/2022 0:00,3.42
H2CA47188,C70006242,5/13/2022 0:00,17.82
H8CA12098,C70006242,5/13/2022 0:00,11.55
H0CA10149,C70006242,5/13/2022 0:00,11.94
H6CA20152,C70006242,5/13/2022 0:00,47.98
H4CA23011,C70006242,5/13/2022 0:00,8.18
H8CA45130,C70006242,5/13/2022 0:00,40.69
H0CA10073,C70006242,5/13/2022 0:00,36.26
H8CA34266,C70006242,5/13/2022 0:00,4.04
H2CA52089,C70006242,5/13/2022 0:00,23.93
H4CA12055,C70006242,5/13/2022 0:00,3.25
H0CA25154,C70006242,5/13/2022 0:00,39.46
H6CA05195,C70006242,5/13/2022 0:00,21.92
H2CA31125,C70006242,5/13/2022 0:00,22.64
H8CA49074,C70006242,5/13/2022 0:00,22.53
H2CA06259,C70006242,5/13/2022 0:00,35.76
H4CA33119,C70006242,5/13/2022 0:00,22.76
H2CA43245,C70006242,5/13/2022 0:00,9.75
H8CA09060,C70006242,5/13/2022 0:00,10.2
H6CA24113,C70006242,5/13/2022 0:00,10.2
H2CA36439,C70006242,5/13/2022 0:00,8.41
H0CA27085,C70006242,5/13/2022 0:00,7.34
H0CA03078,C70006242,5/13/2022 0:00,14.69
S6NJ00289,C70000112,5/14/2022 0:00,899.92
S2AL00145,C70005798,5/17/2022 0:00,14015.63
H2CA22231,C70002563,5/18/2022 0:00,4683.52
H8CA49058,C70002563,5/18/2022 0:00,7164.89
H2CA22231,C70002563,5/18/2022 0:00,600
H8CA49058,C70002563,5/18/2022 0:00,600
H8CA45130,C70002563,5/18/2022 0:00,1800
H8CA45130,C70002563,5/18/2022 0:00,7157.92
H2TX23082,C70000112,5/19/2022 0:00,2925.39
H0TX28077,C70000112,5/19/2022 0:00,2925.39
S0AR00150,C70000716,5/20/2022 0:00,44.47
H0AR01083,C70000716,5/20/2022 0:00,8.84
H0AR03055,C70000716,5/20/2022 0:00,9.14
H4AR02141,C70000716,5/20/2022 0:00,8.81
H2IL13120,C70002563,5/20/2022 0:00,4800
H2IL13120,C70002563,5/20/2022 0:00,10939.29
